"423","Arsenal","Middlesbrough","1.25","6.5","15","0","0"
"424","Bournemouth","Tottenham","4.2","3.6","1.95","0","0"
"425","Burnley","Everton","6","3.8","1.67","2","1"
"426","Hull","Stoke","3.1","3.3","2.5","0","2"
"427","Leicester","Crystal_Palace","2.05","3.5","3.9","3","1"
"428","Liverpool","West_Brom","1.29","6","13","2","1"
"429","Swansea","Watford","2.38","3.3","3.3","0","0"
"430","West_Ham","Sunderland","1.67","4","5.75","1","0"
"431","Chelsea","Man_United","2.15","3.4","3.8","4","0"
"432","Man_City","Southampton","1.5","4.5","7.5","1","1"
"433","Crystal_Palace","Liverpool","5.25","4","1.7","2","4"
"434","Man_United","Burnley","1.2","7","19","0","0"
"435","Middlesbrough","Bournemouth","2.5","3.2","3.2","2","0"
"436","Sunderland","Arsenal","9","5","1.4","1","4"
"437","Tottenham","Leicester","1.62","4.2","6","1","1"
"438","Watford","Hull","1.75","3.75","5.25","1","0"
"439","West_Brom","Man_City","8","4.75","1.44","0","4"
"440","Everton","West_Ham","1.8","3.8","4.75","2","0"
"441","Southampton","Chelsea","3.2","3.4","2.4","0","2"
"442","Stoke","Swansea","2.05","3.6","3.8","3","1"
"443","Bournemouth","Sunderland","1.65","4.2","5.5","1","2"
"444","Burnley","Crystal_Palace","3.3","3.3","2.38","3","2"
"445","Chelsea","Everton","1.53","4.33","7","5","0"
"446","Man_City","Middlesbrough","1.22","7","15","1","1"
"447","West_Ham","Stoke","2","3.6","4","1","1"
"448","Arsenal","Tottenham","1.95","3.6","4.2","1","1"
"449","Hull","Southampton","5.75","3.8","1.7","2","1"
"450","Leicester","West_Brom","1.8","3.6","5.25","1","2"
"451","Liverpool","Watford","1.29","6","12","6","1"
"452","Swansea","Man_United","5","4","1.73","1","3"
"453","Crystal_Palace","Man_City","6.5","4.5","1.53","1","2"
"454","Everton","Swansea","1.6","4.33","6","1","1"
"455","Man_United","Arsenal","2.6","3.4","2.9","1","1"
"456","Southampton","Liverpool","3.4","3.6","2.2","0","0"
"457","Stoke","Bournemouth","2.3","3.4","3.4","0","1"
"458","Sunderland","Hull","2.15","3.4","3.8","3","0"
"459","Tottenham","West_Ham","1.5","4.5","7.5","3","2"
"460","Watford","Leicester","2.8","3.3","2.75","2","1"
"461","Middlesbrough","Chelsea","7","4","1.57","0","1"
"462","West_Brom","Burnley","1.95","3.4","4.5","4","0"
"463","Burnley","Man_City","9","6","1.33","1","2"
"464","Chelsea","Tottenham","1.75","3.8","5.25","2","1"
"465","Hull","West_Brom","3.1","3.2","2.6","1","1"
"466","Leicester","Middlesbrough","1.91","3.6","4.5","2","2"
"467","Liverpool","Sunderland","1.17","8.5","19","2","0"
"468","Swansea","Crystal_Palace","2.63","3.4","2.88","5","4"
"469","Arsenal","Bournemouth","1.4","5","9","3","1"
"470","Man_United","West_Ham","1.45","4.75","8","1","1"
"471","Southampton","Everton","2.2","3.4","3.6","1","0"
"472","Watford","Stoke","2.4","3.3","3.3","0","1"
"473","Crystal_Palace","Southampton","3.5","3.3","2.3","3","0"
"474","Man_City","Chelsea","2.15","3.6","3.6","1","3"
"475","Stoke","Burnley","1.62","4","6.5","2","0"
"476","Sunderland","Leicester","3.4","3.4","2.3","2","1"
"477","Tottenham","Swansea","1.36","5.5","9","5","0"
"478","West_Brom","Watford","2.2","3.3","3.75","3","1"
"479","West_Ham","Arsenal","4.75","4.2","1.75","1","5"
"480","Bournemouth","Liverpool","5","4","1.75","4","3"
"481","Everton","Man_United","3.6","3.5","2.15","1","1"
"482","Middlesbrough","Hull","1.83","3.5","5.25","1","0"
